Year,Cause of Death,State,Age Range,Benchmark,Locality,Observed Deaths,Population,Expected Deaths,Potentially Excess Deaths,Percent Potentially Excess Deaths
2005,Cancer,CA,0-79,2005 Fixed,Metropolitan,36576,33933282,32954,3622,9.9
2005,Cancer,CA,0-79,2005 Fixed,Nonmetropolitan,1350,800067,1102,248,18.4
2005,Stroke,CA,0-79,2005 Fixed,All,6068,34733349,4164,1904,31.4
2005,Chronic Lower Respiratory Disease,CA,0-79,2005 Fixed,All,6729,34733349,4928,1801,26.8
2005,Chronic Lower Respiratory Disease,CA,0-79,2005 Fixed,Metropolitan,6387,33933282,4765,1622,25.4
2005,Chronic Lower Respiratory Disease,CA,0-79,2005 Fixed,Nonmetropolitan,342,800067,163,179,52.3
2005,Heart Disease,CA,0-79,2005 Fixed,All,28204,34733349,21388,6816,24.2
2005,Heart Disease,CA,0-79,2005 Fixed,Metropolitan,27290,33933282,20699,6591,24.2
2005,Heart Disease,CA,0-79,2005 Fixed,Nonmetropolitan,914,800067,689,225,24.6
2005,Stroke,CA,0-79,2005 Fixed,Metropolitan,5904,33933282,4030,1874,31.7
2005,Stroke,CA,0-79,2005 Fixed,Nonmetropolitan,164,800067,135,29,17.7
2005,Unintentional Injury,CA,0-79,2005 Fixed,All,9627,34733349,6248,3379,35.1
2005,Unintentional Injury,CA,0-79,2005 Fixed,Metropolitan,9195,33933282,6093,3102,33.7
2005,Unintentional Injury,CA,0-79,2005 Fixed,Nonmetropolitan,432,800067,155,277,64.1
2005,Cancer,CO,0-79,2005 Fixed,All,4550,4508320,4408,211,4.6
2005,Cancer,CO,0-79,2005 Fixed,Metropolitan,3810,3876394,3667,191,5
2005,Cancer,CO,0-79,2005 Fixed,Nonmetropolitan,740,631926,741,35,4.7
2005,Chronic Lower Respiratory Disease,CO,0-79,2005 Fixed,All,1064,4508320,620,444,41.7
2005,Chronic Lower Respiratory Disease,CO,0-79,2005 Fixed,Metropolitan,868,3876394,513,355,40.9
2005,Chronic Lower Respiratory Disease,CO,0-79,2005 Fixed,Nonmetropolitan,196,631926,107,89,45.4
2005,Heart Disease,CO,0-79,2005 Fixed,All,2884,4508320,2749,149,5.2
2005,Heart Disease,CO,0-79,2005 Fixed,Metropolitan,2382,3876394,2287,123,5.2
2005,Heart Disease,CO,0-79,2005 Fixed,Nonmetropolitan,502,631926,462,45,9
2005,Stroke,CO,0-79,2005 Fixed,All,622,4508320,526,96,15.4
2005,Stroke,CO,0-79,2005 Fixed,Metropolitan,518,3876394,437,82,15.8
2005,Stroke,CO,0-79,2005 Fixed,Nonmetropolitan,104,631926,89,19,18.3
2005,Unintentional Injury,CO,0-79,2005 Fixed,All,1577,4508320,815,762,48.3
2005,Unintentional Injury,CO,0-79,2005 Fixed,Metropolitan,1274,3876394,697,577,45.3
2005,Unintentional Injury,CO,0-79,2005 Fixed,Nonmetropolitan,303,631926,119,184,60.7
2005,Cancer,CT,0-79,2005 Fixed,All,4525,3352531,3914,615,13.6
2005,Cancer,CT,0-79,2005 Fixed,Metropolitan,4262,3172285,3684,581,13.6
2005,Cancer,CT,0-79,2005 Fixed,Nonmetropolitan,263,180246,230,44,16.7
2005,Chronic Lower Respiratory Disease,CT,0-79,2005 Fixed,All,684,3352531,576,108,15.8
2005,Chronic Lower Respiratory Disease,CT,0-79,2005 Fixed,Metropolitan,647,3172285,543,104,16.1
2005,Chronic Lower Respiratory Disease,CT,0-79,2005 Fixed,Nonmetropolitan,37,180246,33,7,18.9
2005,Heart Disease,CT,0-79,2005 Fixed,All,2854,3352531,2468,386,13.5
2005,Heart Disease,CT,0-79,2005 Fixed,Metropolitan,2700,3172285,2324,376,13.9
2005,Heart Disease,CT,0-79,2005 Fixed,Nonmetropolitan,154,180246,144,13,8.4
2005,Stroke,CT,0-79,2005 Fixed,All,516,3352531,480,43,8.3
2005,Stroke,CT,0-79,2005 Fixed,Metropolitan,482,3172285,453,37,7.7
2005,Stroke,CT,0-79,2005 Fixed,Nonmetropolitan,34,180246,28,6,17.6
2005,Unintentional Injury,CT,0-79,2005 Fixed,All,843,3352531,626,217,25.7
2005,Unintentional Injury,CT,0-79,2005 Fixed,Metropolitan,787,3172285,591,198,25.2
2005,Unintentional Injury,CT,0-79,2005 Fixed,Nonmetropolitan,56,180246,34,23,41.1
2005,Cancer,DE,0-79,2005 Fixed,All,1305,816181,972,336,25.7
2005,Cancer,DE,0-79,2005 Fixed,Metropolitan,1305,816181,972,336,25.7
2005,Cancer,DE,0-79,2005 Fixed,Nonmetropolitan,,,,,
2005,Chronic Lower Respiratory Disease,DE,0-79,2005 Fixed,All,235,816181,145,90,38.3
2005,Chronic Lower Respiratory Disease,DE,0-79,2005 Fixed,Metropolitan,235,816181,145,90,38.3
2005,Chronic Lower Respiratory Disease,DE,0-79,2005 Fixed,Nonmetropolitan,,,,,
2005,Heart Disease,DE,0-79,2005 Fixed,All,954,816181,612,342,35.8
2005,Heart Disease,DE,0-79,2005 Fixed,Metropolitan,954,816181,612,342,35.8
2005,Heart Disease,DE,0-79,2005 Fixed,Nonmetropolitan,,,,,
2005,Stroke,DE,0-79,2005 Fixed,All,150,816181,120,30,20
2005,Stroke,DE,0-79,2005 Fixed,Metropolitan,150,816181,120,30,20
2005,Stroke,DE,0-79,2005 Fixed,Nonmetropolitan,,,,,
2005,Unintentional Injury,DE,0-79,2005 Fixed,All,237,816181,153,84,35.4
2005,Unintentional Injury,DE,0-79,2005 Fixed,Metropolitan,237,816181,153,84,35.4
2005,Unintentional Injury,DE,0-79,2005 Fixed,Nonmetropolitan,,,,,
2005,Cancer,FL,0-79,2005 Fixed,All,28083,17013459,23507,4576,16.3
2005,Cancer,FL,0-79,2005 Fixed,Metropolitan,26780,16355600,22615,4165,15.6
2005,Cancer,FL,0-79,2005 Fixed,Nonmetropolitan,1303,657859,892,412,31.6
2005,Chronic Lower Respiratory Disease,FL,0-79,2005 Fixed,All,5034,17013459,3638,1396,27.7
2005,Chronic Lower Respiratory Disease,FL,0-79,2005 Fixed,Metropolitan,4762,16355600,3503,1259,26.4
2005,Chronic Lower Respiratory Disease,FL,0-79,2005 Fixed,Nonmetropolitan,272,657859,135,137,50.4
2005,Heart Disease,FL,0-79,2005 Fixed,All,19594,17013459,14928,4666,23.8
2005,Heart Disease,FL,0-79,2005 Fixed,Metropolitan,18657,16355600,14368,4289,23
2005,Heart Disease,FL,0-79,2005 Fixed,Nonmetropolitan,937,657859,560,377,40.2
2005,Stroke,FL,0-79,2005 Fixed,All,3752,17013459,2986,766,20.4
2005,Stroke,FL,0-79,2005 Fixed,Metropolitan,3583,16355600,2875,708,19.8
2005,Stroke,FL,0-79,2005 Fixed,Nonmetropolitan,169,657859,111,58,34.3
2005,Unintentional Injury,FL,0-79,2005 Fixed,All,7310,17013459,3304,4006,54.8
2005,Unintentional Injury,FL,0-79,2005 Fixed,Metropolitan,6865,16355600,3177,3688,53.7
2005,Unintentional Injury,FL,0-79,2005 Fixed,Nonmetropolitan,445,657859,127,318,71.5
2005,Cancer,GA,0-79,2005 Fixed,All,11037,8711051,8348,2689,24.4
2005,Cancer,GA,0-79,2005 Fixed,Metropolitan,8256,7077628,6424,1832,22.2
2005,Cancer,GA,0-79,2005 Fixed,Nonmetropolitan,2781,1633423,1924,857,30.8
2005,Chronic Lower Respiratory Disease,GA,0-79,2005 Fixed,All,2104,8711051,1181,923,43.9
2005,Chronic Lower Respiratory Disease,GA,0-79,2005 Fixed,Metropolitan,1482,7077628,896,586,39.5
2005,Chronic Lower Respiratory Disease,GA,0-79,2005 Fixed,Nonmetropolitan,622,1633423,285,337,54.2
2005,Heart Disease,GA,0-79,2005 Fixed,All,9428,8711051,5202,4226,44.8
2005,Heart Disease,GA,0-79,2005 Fixed,Metropolitan,6936,7077628,3998,2938,42.4
2005,Heart Disease,GA,0-79,2005 Fixed,Nonmetropolitan,2492,1633423,1204,1288,51.7
2005,Stroke,GA,0-79,2005 Fixed,All,1917,8711051,1001,916,47.8
2005,Stroke,GA,0-79,2005 Fixed,Metropolitan,1402,7077628,764,638,45.5
2005,Stroke,GA,0-79,2005 Fixed,Nonmetropolitan,515,1633423,237,278,54
2005,Unintentional Injury,GA,0-79,2005 Fixed,All,3217,8711051,1556,1661,51.6
2005,Unintentional Injury,GA,0-79,2005 Fixed,Metropolitan,2404,7077628,1254,1150,47.8
2005,Unintentional Injury,GA,0-79,2005 Fixed,Nonmetropolitan,813,1633423,302,511,62.9
2005,Cancer,HI,0-79,2005 Fixed,All,1526,1241478,1472,87,5.7
2005,Cancer,HI,0-79,2005 Fixed,Metropolitan,1240,1019274,1194,71,5.7
2005,Cancer,HI,0-79,2005 Fixed,Nonmetropolitan,286,222204,278,21,7.3
2005,Chronic Lower Respiratory Disease,HI,0-79,2005 Fixed,All,137,1241478,219,1,0.7
2005,Chronic Lower Respiratory Disease,HI,0-79,2005 Fixed,Metropolitan,101,1019274,178,2,2
2005,Chronic Lower Respiratory Disease,HI,0-79,2005 Fixed,Nonmetropolitan,36,222204,40,4,11.1
2005,Heart Disease,HI,0-79,2005 Fixed,All,1127,1241478,927,204,18.1
2005,Heart Disease,HI,0-79,2005 Fixed,Metropolitan,919,1019274,754,169,18.4
2005,Heart Disease,HI,0-79,2005 Fixed,Nonmetropolitan,208,222204,174,35,16.8
2005,Stroke,HI,0-79,2005 Fixed,All,275,1241478,182,93,33.8
2005,Stroke,HI,0-79,2005 Fixed,Metropolitan,221,1019274,149,72,32.6
2005,Stroke,HI,0-79,2005 Fixed,Nonmetropolitan,54,222204,34,20,37
2005,Unintentional Injury,HI,0-79,2005 Fixed,All,324,1241478,234,94,29
2005,Unintentional Injury,HI,0-79,2005 Fixed,Metropolitan,245,1019274,192,54,22
2005,Unintentional Injury,HI,0-79,2005 Fixed,Nonmetropolitan,79,222204,42,41,51.9
2005,Cancer,ID,0-79,2005 Fixed,All,1629,1382810,1441,193,11.8
2005,Cancer,ID,0-79,2005 Fixed,Metropolitan,973,888564,877,111,11.4
2005,Cancer,ID,0-79,2005 Fixed,Nonmetropolitan,656,494246,564,92,14
2005,Chronic Lower Respiratory Disease,ID,0-79,2005 Fixed,All,382,1382810,210,172,45
2005,Chronic Lower Respiratory Disease,ID,0-79,2005 Fixed,Metropolitan,243,888564,126,117,48.1
2005,Chronic Lower Respiratory Disease,ID,0-79,2005 Fixed,Nonmetropolitan,139,494246,84,55,39.6
2005,Heart Disease,ID,0-79,2005 Fixed,All,1064,1382810,901,164,15.4
2005,Heart Disease,ID,0-79,2005 Fixed,Metropolitan,620,888564,548,74,11.9
2005,Heart Disease,ID,0-79,2005 Fixed,Nonmetropolitan,444,494246,353,91,20.5
2005,Stroke,ID,0-79,2005 Fixed,All,238,1382810,177,63,26.5
2005,Stroke,ID,0-79,2005 Fixed,Metropolitan,144,888564,107,40,27.8
2005,Stroke,ID,0-79,2005 Fixed,Nonmetropolitan,94,494246,70,24,25.5
2005,Unintentional Injury,ID,0-79,2005 Fixed,All,508,1382810,247,261,51.4
2005,Unintentional Injury,ID,0-79,2005 Fixed,Metropolitan,259,888564,157,102,39.4
2005,Unintentional Injury,ID,0-79,2005 Fixed,Nonmetropolitan,249,494246,90,159,63.9
2005,Cancer,IL,0-79,2005 Fixed,All,16788,12163999,12976,3812,22.7
2005,Cancer,IL,0-79,2005 Fixed,Metropolitan,14043,10704149,11013,3030,21.6
2005,Cancer,IL,0-79,2005 Fixed,Nonmetropolitan,2745,1459850,1963,782,28.5
2005,Chronic Lower Respiratory Disease,IL,0-79,2005 Fixed,All,2741,12163999,1902,839,30.6
2005,Chronic Lower Respiratory Disease,IL,0-79,2005 Fixed,Metropolitan,2135,10704149,1602,533,25
2005,Chronic Lower Respiratory Disease,IL,0-79,2005 Fixed,Nonmetropolitan,606,1459850,300,306,50.5
2005,Heart Disease,IL,0-79,2005 Fixed,All,12935,12163999,8162,4773,36.9
2005,Heart Disease,IL,0-79,2005 Fixed,Metropolitan,10973,10704149,6920,4053,36.9
2005,Heart Disease,IL,0-79,2005 Fixed,Nonmetropolitan,1962,1459850,1242,720,36.7
2005,Stroke,IL,0-79,2005 Fixed,All,2263,12163999,1595,668,29.5
2005,Stroke,IL,0-79,2005 Fixed,Metropolitan,1904,10704149,1348,556,29.2
2005,Stroke,IL,0-79,2005 Fixed,Nonmetropolitan,359,1459850,247,112,31.2
2005,Unintentional Injury,IL,0-79,2005 Fixed,All,3375,12163999,2223,1152,34.1
2005,Unintentional Injury,IL,0-79,2005 Fixed,Metropolitan,2802,10704149,1943,859,30.7
2005,Unintentional Injury,IL,0-79,2005 Fixed,Nonmetropolitan,573,1459850,280,293,51.1
2005,Cancer,IN,0-79,2005 Fixed,All,9187,6059426,6692,2495,27.2
2005,Cancer,IN,0-79,2005 Fixed,Metropolitan,6887,4642113,4950,1937,28.1
2005,Cancer,IN,0-79,2005 Fixed,Nonmetropolitan,2300,1417313,1742,561,24.4
2005,Chronic Lower Respiratory Disease,IN,0-79,2005 Fixed,All,2046,6059426,985,1061,51.9
2005,Chronic Lower Respiratory Disease,IN,0-79,2005 Fixed,Metropolitan,1499,4642113,724,775,51.7
2005,Chronic Lower Respiratory Disease,IN,0-79,2005 Fixed,Nonmetropolitan,547,1417313,261,286,52.3
2005,Heart Disease,IN,0-79,2005 Fixed,All,6972,6059426,4207,2765,39.7
2005,Heart Disease,IN,0-79,2005 Fixed,Metropolitan,5124,4642113,3111,2013,39.3
2005,Heart Disease,IN,0-79,2005 Fixed,Nonmetropolitan,1848,1417313,1096,752,40.7
2005,Stroke,IN,0-79,2005 Fixed,All,1364,6059426,824,540,39.6
2005,Stroke,IN,0-79,2005 Fixed,Metropolitan,1000,4642113,608,392,39.2
2005,Stroke,IN,0-79,2005 Fixed,Nonmetropolitan,364,1417313,216,148,40.7
2005,Unintentional Injury,IN,0-79,2005 Fixed,All,1972,6059426,1111,861,43.7
2005,Unintentional Injury,IN,0-79,2005 Fixed,Metropolitan,1402,4642113,847,555,39.6
2005,Unintentional Injury,IN,0-79,2005 Fixed,Nonmetropolitan,570,1417313,264,306,53.7
2005,Cancer,IA,0-79,2005 Fixed,All,4180,2824176,3412,768,18.4
2005,Cancer,IA,0-79,2005 Fixed,Metropolitan,2095,1590093,1694,402,19.2
2005,Cancer,IA,0-79,2005 Fixed,Nonmetropolitan,2085,1234083,1718,367,17.6
2005,Chronic Lower Respiratory Disease,IA,0-79,2005 Fixed,All,887,2824176,515,372,41.9
2005,Chronic Lower Respiratory Disease,IA,0-79,2005 Fixed,Metropolitan,469,1590093,249,220,46.9
2005,Chronic Lower Respiratory Disease,IA,0-79,2005 Fixed,Nonmetropolitan,418,1234083,266,152,36.4
2005,Heart Disease,IA,0-79,2005 Fixed,All,2858,2824176,2160,698,24.4
2005,Heart Disease,IA,0-79,2005 Fixed,Metropolitan,1368,1590093,1066,302,22.1
2005,Heart Disease,IA,0-79,2005 Fixed,Nonmetropolitan,1490,1234083,1094,396,26.6
2005,Stroke,IA,0-79,2005 Fixed,All,546,2824176,427,119,21.8
2005,Stroke,IA,0-79,2005 Fixed,Metropolitan,255,1590093,209,46,18
2005,Stroke,IA,0-79,2005 Fixed,Nonmetropolitan,291,1234083,219,72,24.7
2005,Unintentional Injury,IA,0-79,2005 Fixed,All,845,2824176,529,316,37.4
2005,Unintentional Injury,IA,0-79,2005 Fixed,Metropolitan,391,1590093,292,99,25.3
2005,Unintentional Injury,IA,0-79,2005 Fixed,Nonmetropolitan,454,1234083,237,217,47.8
2005,Cancer,KS,0-79,2005 Fixed,All,3720,2633282,2919,805,21.6
2005,Cancer,KS,0-79,2005 Fixed,Metropolitan,2246,1733306,1755,495,22
2005,Cancer,KS,0-79,2005 Fixed,Nonmetropolitan,1474,899976,1164,310,21
2005,Chronic Lower Respiratory Disease,KS,0-79,2005 Fixed,All,814,2633282,434,380,46.7
2005,Chronic Lower Respiratory Disease,KS,0-79,2005 Fixed,Metropolitan,448,1733306,254,194,43.3
2005,Chronic Lower Respiratory Disease,KS,0-79,2005 Fixed,Nonmetropolitan,366,899976,179,187,51.1
2005,Heart Disease,KS,0-79,2005 Fixed,All,2439,2633282,1844,595,24.4
2005,Heart Disease,KS,0-79,2005 Fixed,Metropolitan,1392,1733306,1104,288,20.7
2005,Heart Disease,KS,0-79,2005 Fixed,Nonmetropolitan,1047,899976,740,307,29.3
2005,Stroke,KS,0-79,2005 Fixed,All,537,2633282,363,174,32.4
2005,Stroke,KS,0-79,2005 Fixed,Metropolitan,335,1733306,215,120,35.8
2005,Stroke,KS,0-79,2005 Fixed,Nonmetropolitan,202,899976,148,54,26.7
2005,Unintentional Injury,KS,0-79,2005 Fixed,All,921,2633282,482,439,47.7
2005,Unintentional Injury,KS,0-79,2005 Fixed,Metropolitan,485,1733306,313,172,35.5
2005,Unintentional Injury,KS,0-79,2005 Fixed,Nonmetropolitan,436,899976,169,267,61.2
2005,Cancer,KY,0-79,2005 Fixed,All,7145,4045615,4652,2493,34.9
2005,Cancer,KY,0-79,2005 Fixed,Metropolitan,3637,2291319,2475,1166,32.1
2005,Cancer,KY,0-79,2005 Fixed,Nonmetropolitan,3508,1754296,2177,1331,37.9
2005,Chronic Lower Respiratory Disease,KY,0-79,2005 Fixed,All,1601,4045615,683,918,57.3
2005,Chronic Lower Respiratory Disease,KY,0-79,2005 Fixed,Metropolitan,775,2291319,360,415,53.5
2005,Chronic Lower Respiratory Disease,KY,0-79,2005 Fixed,Nonmetropolitan,826,1754296,323,503,60.9
2005,Heart Disease,KY,0-79,2005 Fixed,All,5693,4045615,2916,2777,48.8
2005,Heart Disease,KY,0-79,2005 Fixed,Metropolitan,2700,2291319,1553,1147,42.5
2005,Heart Disease,KY,0-79,2005 Fixed,Nonmetropolitan,2993,1754296,1363,1630,54.5
2005,Stroke,KY,0-79,2005 Fixed,All,940,4045615,569,371,39.5
2005,Stroke,KY,0-79,2005 Fixed,Metropolitan,493,2291319,302,191,38.7
2005,Stroke,KY,0-79,2005 Fixed,Nonmetropolitan,447,1754296,267,180,40.3
2005,Unintentional Injury,KY,0-79,2005 Fixed,All,2067,4045615,753,1314,63.6
2005,Unintentional Injury,KY,0-79,2005 Fixed,Metropolitan,895,2291319,422,473,52.8
2005,Unintentional Injury,KY,0-79,2005 Fixed,Nonmetropolitan,1172,1754296,331,841,71.8
2005,Cancer,LA,0-79,2005 Fixed,All,6931,4439066,4782,2149,31
2005,Cancer,LA,0-79,2005 Fixed,Metropolitan,5634,3698625,3918,1716,30.5
2005,Cancer,LA,0-79,2005 Fixed,Nonmetropolitan,1297,740441,864,433,33.4
2005,Chronic Lower Respiratory Disease,LA,0-79,2005 Fixed,All,1130,4439066,701,429,38
2005,Chronic Lower Respiratory Disease,LA,0-79,2005 Fixed,Metropolitan,902,3698625,571,331,36.7
2005,Chronic Lower Respiratory Disease,LA,0-79,2005 Fixed,Nonmetropolitan,228,740441,130,98,43
2005,Heart Disease,LA,0-79,2005 Fixed,All,6065,4439066,3001,3064,50.5
2005,Heart Disease,LA,0-79,2005 Fixed,Metropolitan,4801,3698625,2457,2344,48.8
2005,Heart Disease,LA,0-79,2005 Fixed,Nonmetropolitan,1264,740441,544,720,57
2005,Stroke,LA,0-79,2005 Fixed,All,1269,4439066,588,681,53.7
2005,Stroke,LA,0-79,2005 Fixed,Metropolitan,1023,3698625,479,544,53.2
2005,Stroke,LA,0-79,2005 Fixed,Nonmetropolitan,246,740441,108,138,56.1
2005,Unintentional Injury,LA,0-79,2005 Fixed,All,2563,4439066,810,1753,68.4
2005,Unintentional Injury,LA,0-79,2005 Fixed,Metropolitan,2114,3698625,674,1440,68.1
2005,Unintentional Injury,LA,0-79,2005 Fixed,Nonmetropolitan,449,740441,136,313,69.7
2005,Cancer,ME,0-79,2005 Fixed,All,2209,1264369,1630,581,26.3
2005,Cancer,ME,0-79,2005 Fixed,Metropolitan,1180,737009,887,294,24.9
2005,Cancer,ME,0-79,2005 Fixed,Nonmetropolitan,1029,527360,743,287,27.9
2005,Chronic Lower Respiratory Disease,ME,0-79,2005 Fixed,All,463,1264369,241,222,47.9
2005,Chronic Lower Respiratory Disease,ME,0-79,2005 Fixed,Metropolitan,244,737009,130,114,46.7
2005,Chronic Lower Respiratory Disease,ME,0-79,2005 Fixed,Nonmetropolitan,219,527360,111,109,49.8
2005,Heart Disease,ME,0-79,2005 Fixed,All,1337,1264369,1026,311,23.3
2005,Heart Disease,ME,0-79,2005 Fixed,Metropolitan,676,737009,558,118,17.5
2005,Heart Disease,ME,0-79,2005 Fixed,Nonmetropolitan,661,527360,468,193,29.2
2005,Stroke,ME,0-79,2005 Fixed,All,243,1264369,200,43,17.7
2005,Stroke,ME,0-79,2005 Fixed,Metropolitan,125,737009,108,17,13.6
2005,Stroke,ME,0-79,2005 Fixed,Nonmetropolitan,118,527360,92,26,22
2005,Unintentional Injury,ME,0-79,2005 Fixed,All,456,1264369,243,213,46.7
2005,Unintentional Injury,ME,0-79,2005 Fixed,Metropolitan,235,737009,140,95,40.4
2005,Unintentional Injury,ME,0-79,2005 Fixed,Nonmetropolitan,221,527360,103,118,53.4
2005,Cancer,MD,0-79,2005 Fixed,All,7494,5415095,5798,1706,22.8
2005,Cancer,MD,0-79,2005 Fixed,Metropolitan,7239,5273327,5590,1659,22.9
2005,Cancer,MD,0-79,2005 Fixed,Nonmetropolitan,255,141768,208,48,18.8
2005,Chronic Lower Respiratory Disease,MD,0-79,2005 Fixed,All,981,5415095,832,149,15.2
2005,Chronic Lower Respiratory Disease,MD,0-79,2005 Fixed,Metropolitan,941,5273327,800,141,15
2005,Chronic Lower Respiratory Disease,MD,0-79,2005 Fixed,Nonmetropolitan,40,141768,32,9,22.5
2005,Heart Disease,MD,0-79,2005 Fixed,All,5656,5415095,3628,2028,35.9
2005,Heart Disease,MD,0-79,2005 Fixed,Metropolitan,5445,5273327,3497,1948,35.8
